Company1,Company2,weight
Soneri Bank Limited,Rupali Polyester ltd,2
Soneri Bank Limited,Islamabad Stock Exchange ltd,1
Soneri Bank Limited,Ecopack Ltd.,1
Soneri Bank Limited,General Tyre And Rubber Co Pakistan,1
Soneri Bank Limited,Siemens (Pakistan) Engineering Co Ltd.,1
Soneri Bank Limited,Askari Leasing Ltd.,1
Soneri Bank Limited,Atlas Bank Ltd.,1
Soneri Bank Limited,The Aga Khan Hospital & Medical College Foundation,1
Soneri Bank Limited,National Investment Trust ltd,1
Soneri Bank Limited,Sui Northern Gas Pipeline  Limited,1
Soneri Bank Limited,Askari Bank Limited,1
Soneri Bank Limited,Bata Pakistan Limited,1
Soneri Bank Limited,Ferozsons Laboratories Limited,1
Habib Metropolitan Bank,Gul Ahmed Energy Ltd.,1
Habib Metropolitan Bank,Gul Ahmed Wind Power Ltd.,1
Habib Metropolitan Bank,Gul Ahmed International Ltd. (FZC),1
Habib Metropolitan Bank,GTM Europe Ltd.,1
Habib Metropolitan Bank,Gul Ahmed Holdings Pvt Ltd.,1
Habib Metropolitan Bank,Habib University Foundation,4
Habib Metropolitan Bank,GTM USA Corp.,1
Habib Metropolitan Bank,Education Fund for Sindh,1
Habib Metropolitan Bank,The Chartered Institute of Management Accountants,1
Habib Metropolitan Bank,HBZ Bank Ltd.,1
Habib Metropolitan Bank,Habib Education Trust,3
Habib Metropolitan Bank,Gefan Finanz AG,1
Habib Metropolitan Bank,Habib Canadian Bank,1
Habib Metropolitan Bank,Hascol Petroleum Ltd,1
Habib Metropolitan Bank,International Industries Ltd.,1
Habib Metropolitan Bank,Tasha Enterprises (Pvt) Ltd.,1
Habib Metropolitan Bank,Saiya Homes,1
Habib Metropolitan Bank,Expo Lahore (Pvt) Ltd.,1
Habib Metropolitan Bank,National Construction Ltd.,1
Habib Metropolitan Bank,Shabbir Tiles & Ceramic ltd,1
Habib Metropolitan Bank,Makro-Habib Pakistan Ltd,1
Habib Metropolitan Bank,METRO- Habib Cash & Carry Pakistan (Pvt) Ltd.,1
Habib Metropolitan Bank,Shaukat Khanum Memorial Trust,1
Habib Metropolitan Bank,Mohamedali Habib Welfare Trust,1
Habib Metropolitan Bank,Habib Medical Trust,1
Habib Metropolitan Bank,Habib Poor Fund,1
Habib Metropolitan Bank,Rehmatbai Habib Food & Clothing Trust,1
Habib Metropolitan Bank,Rehmatbai Habib Widow & Orphans Trust,1
Habib Metropolitan Bank,Young Presidents' Organization (Pakistan),1
Habib Metropolitan Bank,Pakistan Business Council,1
Habib Metropolitan Bank,Gul Ahmed Textile Mills Limited,1
Habib Metropolitan Bank,Institute of Chartered Accountant of Pakistan,1
Habib Metropolitan Bank,Institute of Chartered Accountants in England & Wales,1
Habib Metropolitan Bank,Indus Motor Comp Ltd,2
Habib Metropolitan Bank,Habib Insurance Company Limited,1
Meezan Bank Limited, National Industries Group Holding,2
Meezan Bank Limited,Privatization Holding Co. Kuwait,1
Meezan Bank Limited,"Middle East Complex for Eng, Electronics and Heavy Industries Co. Jordan",1
Meezan Bank Limited,Ikarus Petroleum Industries Kuwait,1
Meezan Bank Limited,Saudi International Petrochemical Company (SIPCHEM) KSA,1
Meezan Bank Limited, Noor Financial Investment Co. Kuwait,3
Meezan Bank Limited,Airport International Group Jordan,1
Meezan Bank Limited,Investment Committee of Bunyah Fund of the Kuwait Investment Co. Bahrain,1
Meezan Bank Limited, sZOL-U.K.,1
Meezan Bank Limited,Cleantech I & II Zouk Venture Limited U.K.,1
Meezan Bank Limited,Markaz Energy Fund Kuwait.,1
Meezan Bank Limited,Al Durra National Real Estate Company,1
Meezan Bank Limited,Noor Executive Committee,1
Meezan Bank Limited,Shorfat al Safwain KSA,1
Meezan Bank Limited,Durrat Alshameya Investment in KSA,1
Meezan Bank Limited,Abu Dhabi Marina Real Estate Investment Company,1
Meezan Bank Limited,Noor Al Salehia Real Estate,2
Meezan Bank Limited,Noor Audit Committee,1
Meezan Bank Limited,Noortel,1
Meezan Bank Limited,Gas & Oilfield Services Company (GOFSCO),1
Meezan Bank Limited,"Investment Committee and Arabic Investment Group, Egypt",1
Meezan Bank Limited,Kuwait Finance House-Central Bank of Kuwait,3
Meezan Bank Limited,Palms Agro Production,1
Meezan Bank Limited,Osoul Investment Company,1
Meezan Bank Limited,International Hotels Group,1
Meezan Bank Limited,General Tyre And Rubber Co Pakistan Ltd,1
Meezan Bank Limited,Pakistan Kuwait Investment Co. Pvt Ltd.,1
Meezan Bank Limited,Pakistan Steel Mills Corp.,1
Meezan Bank Limited,Pak-Kuwait Takaful Co. Ltd.,1
Meezan Bank Limited,National Clearing Co. of Pakistan Ltd.,1
Meezan Bank Limited, Kuwait Investment Authority ,1
Meezan Bank Limited,Arabian Sea Enterprises Limited ,1
Meezan Bank Limited,Arabian Gulf Enterprises Limited,1
Meezan Bank Limited,Accounting and Auditing Organization for Islamic Financial Institutes,2
Meezan Bank Limited,"Kuwait Finance House, Bahrain.",1
Meezan Bank Limited,"VC Bank, Bahrain",1
Meezan Bank Limited, Al Shaheer Corporation Ltd,1
Meezan Bank Limited,Al-Masar Leasing and Investment Company,1
Meezan Bank Limited,Priority Automobile Company,1
Meezan Bank Limited,National Information Technology Company,1
Meezan Bank Limited,Al-Reyada Finance & Investment Company,1
Meezan Bank Limited,Unicapta Consultant Company,1
Meezan Bank Limited,Marsa Abu Dhabi R/E Investment Company,1
Meezan Bank Limited,Amar Finance & Investment Company,1
Meezan Bank Limited,IBP Sub Committees for Academic Board and Finance Committee,1
Meezan Bank Limited,Atlas Battery Limited,1
Meezan Bank Limited,Board Al-Meezan Investment Management Limited,1
Meezan Bank Limited,General Tyre And Rubber Co Pakistan Ltd,1
Meezan Bank Limited,Government of Pakistan,1
Meezan Bank Limited,Overseas Investors Chamber of Commerce & Industry,1
Meezan Bank Limited,Dawood Hercules Corporation ,1
Meezan Bank Limited,Engro Corporation Limited,1
Pakistan Telecommunication ,PIA Corp,1
Pakistan Telecommunication ,Emirates Telecommunications Grop Co PJSC,3
Pakistan Telecommunication ,Vodafone Egypt Telecommunications Co SAE,1
Pakistan Telecommunication ,The Vodafone Foundation,1
Pakistan Telecommunication ,Etihad Etisalat Company,2
Pakistan Telecommunication ,Emirates Cable TV & Multimedia LLC,1
Pakistan Telecommunication ,Etisalat Afghanistan,1
Pakistan Telecommunication ,iMENA Holdings,1
Pakistan Telecommunication ,Maroc Telecom SA,1
Pakistan Telecommunication ,Pakistan Telecommunications Mobile Ltd,1
Pakistan Telecommunication ,Emerging Markets Telecommunication Services Ltd.,1
Pakistan Telecommunication ,Etisalat Services Holding LLC,1
Pakistan Telecommunication ,Emirates NBD Bank PJSC,1
Pakistan Telecommunication ,Amlak Finance PJSC,1
Pakistan Telecommunication ,Emirates Islamic Bank PJSC,1
Pakistan Telecommunication ,National General Insurance Co PJSC,1
Pakistan Telecommunication ,Emirates NBD Egypt,1
Pakistan Telecommunication ,The Dubai International Financial Centre,1
Pakistan Telecommunication ,DIFC Investments LLC,1
Pakistan Telecommunication ,Dubai Real Estate Corp.,1
Pakistan Telecommunication ,Gulf Finance Corp. Pjsc,1
Pakistan Telecommunication ,International Humanitarian City,1
Pakistan Telecommunication ,Emirates Institution For Banking & Financial Studies,1
Pakistan Telecommunication ,Dubai Financial Services Authority,1
Pakistan Telecommunication ,State Bank of Pakistan,1
HUM Network,Arts Council of Pakistan,1
HUM Network,Al-Abbas Sugar Mills Limited,1
HUM Network,Pakistan Ministry of Social Welfare & Special Education,1
HUM Network,JS Bank Limited,1
HUM Network,Peregrine Aviation Pvt Ltd.,1
HUM Network,Jahangir Siddiqui Investment Bank Ltd.,1
HUM Network,Jahangir Siddiqui & Sons Ltd.,1
HUM Network,The Karachi Education Initiative,1
HUM Network,Karigar Training Institute,1
HUM Network,JS Abamco Commodities Ltd.,1
HUM Network,Jahangir Siddiqui Foundation,1
HUM Network,Fakhr-e-Imdad Foundation,1
HUM Network,Japan Power Generation Limited,1
HUM Network,First Dawood Investment Bank Ltd,1
HUM Network,Crescent Standard Modaraba,1
HUM Network,State Petroleum Refining & Petrochemical Corp.,1
HUM Network,BRR Guardian Modaraba,1
HUM Network,B.R.R. Investments (Pvt) Ltd.,1
HUM Network,Leasing Association of Pakistan,1
HUM Network,Entrepreneurs Society At Mcgill,1
